trial_id,session_id,trial_number,return_a,return_b,created_at
08eae0d7-b489-4562-9ffc-c6aa04e7ea32,24c846f7-8c09-4270-904e-616d003cb73d,221,null,null,2025-04-21 16:01:33.905792+00
5079e125-0a5d-4312-83ac-1cd41f6a6b20,24c846f7-8c09-4270-904e-616d003cb73d,224,null,null,2025-04-21 16:01:43.269443+00
cc395b74-6f9d-42de-870c-799c12c07188,24c846f7-8c09-4270-904e-616d003cb73d,227,null,null,2025-04-21 16:01:53.540421+00
21f3133f-fc6f-4cbc-b2e8-b204237550ac,f723fc6b-d6df-4448-8736-7e08e9f16aaf,11,null,null,2025-04-20 06:01:49.075377+00
9a8ef4d2-fcc0-4a89-ad29-82f7579b0fd7,f723fc6b-d6df-4448-8736-7e08e9f16aaf,194,null,null,2025-04-20 06:03:13.591269+00
529e19a5-892f-4538-96c8-d757388493f7,f723fc6b-d6df-4448-8736-7e08e9f16aaf,8,null,null,2025-04-20 06:04:13.948651+00
d9a98d67-9411-4425-8096-100192d1a469,f723fc6b-d6df-4448-8736-7e08e9f16aaf,64,null,null,2025-04-20 06:05:30.361329+00
89201950-9751-41c4-a160-529fcfa48bc8,f723fc6b-d6df-4448-8736-7e08e9f16aaf,5,0.249674777111631,0.979564491802584,2025-04-20 06:06:11.287686+00
c560bf06-b8ae-42d8-a919-f694689a3f46,10d83f1f-77eb-44c5-8bb6-a7ecb25c8227,215,null,null,2025-04-21 16:01:53.733091+00
28c116f6-3ae1-4747-a64c-0df8845694f3,65a1c029-9463-449a-821c-c996eed37397,215,null,null,2025-04-21 10:38:57.229435+00
4e729504-0862-448c-a2af-1ba2a472b1a6,65a1c029-9463-449a-821c-c996eed37397,6,null,null,2025-04-21 10:39:34.368855+00
22bd92bd-9b35-4453-b143-0837016d0a95,65a1c029-9463-449a-821c-c996eed37397,160,null,null,2025-04-21 10:40:31.217318+00
77f5572b-e478-4858-9edb-bfc57ceeed29,65a1c029-9463-449a-821c-c996eed37397,40,null,null,2025-04-21 10:42:20.67405+00
dbb9aa95-b7c9-42a8-91d4-94a269b893fe,65a1c029-9463-449a-821c-c996eed37397,62,null,null,2025-04-21 10:43:09.413627+00
8429f1ea-78c3-46cf-9437-024f8e612855,65a1c029-9463-449a-821c-c996eed37397,5,0.249674777111631,0.979564491802584,2025-04-21 10:43:45.217055+00
b4d5ae0a-b7ae-458d-9dd3-948172e76a30,24c846f7-8c09-4270-904e-616d003cb73d,11,null,null,2025-04-21 15:52:00.575343+00
eb8b6d6e-3379-4573-ba0c-a9e657f21bc0,24c846f7-8c09-4270-904e-616d003cb73d,14,null,null,2025-04-21 15:52:46.661868+00
